,IN_INTERNET_ALUNOS,IN_BANDA_LARGA,IN_REFEITORIO,IN_ESPACO_ATIVIDADE,IN_ACESSO_INTERNET_COMPUTADOR,TP_DEPENDENCIA,QT_MAT_FUND,TP_LOCALIZACAO,QT_PROF_PSICOLOGO,QT_PROF_PEDAGOGIA,QT_TRANSP_PUBLICO,QT_DOC_FUND
65350,1.0,1.0,1.0,0.0,1.0,4,294.0,1,1.0,4.0,0.0,16.0
65351,1.0,1.0,1.0,9.0,1.0,3,344.0,1,0.0,1.0,279.0,19.0
65352,,,,,,4,,1,,,,
65353,0.0,,1.0,0.0,0.0,3,0.0,2,0.0,0.0,32.0,0.0
65354,0.0,1.0,1.0,1.0,0.0,3,127.0,1,0.0,2.0,70.0,7.0
65355,0.0,1.0,1.0,1.0,0.0,3,0.0,2,1.0,1.0,2.0,0.0
65356,0.0,1.0,0.0,0.0,0.0,4,8.0,1,0.0,0.0,1.0,1.0
65357,0.0,1.0,0.0,0.0,0.0,3,101.0,1,0.0,1.0,0.0,9.0
65358,0.0,1.0,0.0,9.0,0.0,3,0.0,2,0.0,0.0,48.0,0.0
65359,1.0,1.0,0.0,1.0,1.0,3,560.0,1,1.0,1.0,183.0,29.0
65360,0.0,1.0,1.0,0.0,0.0,3,805.0,1,1.0,3.0,59.0,28.0
65361,0.0,1.0,1.0,1.0,0.0,3,1078.0,1,1.0,2.0,0.0,37.0
65362,1.0,1.0,1.0,1.0,1.0,2,0.0,2,0.0,1.0,347.0,0.0
65363,1.0,1.0,0.0,1.0,1.0,2,0.0,1,0.0,4.0,309.0,0.0
65364,1.0,1.0,1.0,9.0,1.0,2,0.0,2,0.0,0.0,213.0,0.0
65365,0.0,,0.0,9.0,0.0,2,0.0,1,0.0,0.0,0.0,0.0
65366,0.0,,0.0,0.0,0.0,2,0.0,1,0.0,0.0,0.0,0.0
65367,0.0,,0.0,0.0,0.0,2,0.0,2,0.0,1.0,0.0,0.0
65368,1.0,1.0,0.0,0.0,0.0,4,14.0,1,0.0,1.0,0.0,1.0
65369,0.0,0.0,1.0,1.0,0.0,3,0.0,1,1.0,2.0,157.0,0.0
65370,1.0,1.0,0.0,1.0,1.0,4,0.0,1,0.0,2.0,0.0,0.0
65371,0.0,1.0,1.0,0.0,0.0,3,0.0,1,1.0,1.0,1.0,0.0
65372,1.0,1.0,1.0,0.0,0.0,3,22.0,2,1.0,2.0,49.0,2.0
65373,1.0,1.0,0.0,0.0,0.0,4,135.0,1,0.0,1.0,0.0,14.0
65374,0.0,1.0,1.0,0.0,0.0,4,147.0,1,1.0,7.0,0.0,21.0
65375,0.0,1.0,1.0,0.0,0.0,3,0.0,1,0.0,1.0,283.0,0.0
65376,0.0,0.0,0.0,0.0,0.0,4,89.0,1,0.0,14.0,1.0,10.0
65377,0.0,1.0,0.0,0.0,0.0,4,53.0,1,0.0,2.0,8.0,7.0
65378,0.0,1.0,0.0,0.0,0.0,4,150.0,1,0.0,1.0,0.0,9.0
65379,0.0,0.0,1.0,9.0,0.0,3,0.0,1,0.0,2.0,2.0,0.0
65380,1.0,1.0,0.0,1.0,0.0,3,261.0,1,0.0,0.0,261.0,12.0
65381,0.0,1.0,0.0,9.0,0.0,4,7.0,1,0.0,0.0,6.0,1.0
65382,0.0,1.0,0.0,1.0,0.0,4,15.0,1,0.0,0.0,8.0,3.0
65383,,,,,,4,,1,,,,
65384,0.0,1.0,0.0,1.0,0.0,4,85.0,1,0.0,2.0,0.0,6.0
65385,1.0,1.0,0.0,0.0,1.0,4,185.0,1,1.0,1.0,0.0,20.0
65386,0.0,0.0,0.0,0.0,0.0,3,406.0,1,0.0,1.0,214.0,31.0
65387,1.0,0.0,1.0,1.0,0.0,3,0.0,1,0.0,0.0,93.0,0.0
65388,1.0,1.0,0.0,0.0,1.0,3,0.0,1,1.0,1.0,0.0,0.0
65389,0.0,1.0,0.0,0.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65390,,,,,,3,,2,,,,
65391,0.0,1.0,0.0,1.0,0.0,4,24.0,1,0.0,0.0,0.0,2.0
65392,0.0,1.0,0.0,0.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65393,0.0,1.0,1.0,1.0,0.0,3,0.0,1,0.0,1.0,2.0,0.0
65394,0.0,1.0,1.0,0.0,0.0,3,0.0,1,0.0,1.0,0.0,0.0
65395,0.0,1.0,1.0,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0
65396,1.0,1.0,0.0,1.0,0.0,4,87.0,1,0.0,1.0,0.0,14.0
65397,0.0,1.0,0.0,1.0,0.0,3,0.0,2,0.0,0.0,26.0,0.0
65398,0.0,,1.0,9.0,0.0,3,0.0,2,1.0,0.0,0.0,0.0
65399,1.0,1.0,0.0,1.0,1.0,4,0.0,1,0.0,1.0,0.0,0.0
65400,,,,,,3,,2,,,,
65401,0.0,1.0,0.0,0.0,0.0,4,46.0,1,0.0,0.0,0.0,2.0
65402,0.0,,0.0,0.0,0.0,3,47.0,2,0.0,0.0,15.0,10.0
65403,0.0,1.0,0.0,0.0,0.0,4,13.0,1,0.0,0.0,0.0,2.0
65404,0.0,1.0,0.0,0.0,0.0,3,0.0,1,0.0,0.0,0.0,0.0
65405,,,,,,2,,1,,,,
